ciudad,mes_checkin,mes_nombre,precio_mediano,dias_mes,escenario,Oc,monthly_revenue_gross,monthly_revenue_net
Barcelona,1,January,205.0,31,conservador,0.4,2542.0,1652.3
Barcelona,2,February,203.0,28,conservador,0.4,2273.6,1477.84
Barcelona,3,March,188.0,31,conservador,0.4,2331.2,1515.28
Barcelona,4,April,198.0,30,conservador,0.4,2376.0,1544.4
Barcelona,5,May,238.0,31,conservador,0.4,2951.2,1918.28
Barcelona,6,June,243.0,30,conservador,0.4,2916.0,1895.4
Barcelona,7,July,200.0,31,conservador,0.4,2480.0,1612.0
Barcelona,8,August,179.0,31,conservador,0.4,2219.6,1442.74
Barcelona,9,September,235.0,30,conservador,0.4,2820.0,1833.0
Barcelona,10,October,211.0,31,conservador,0.4,2616.4,1700.66
Barcelona,11,November,225.0,30,conservador,0.4,2700.0,1755.0
Barcelona,12,December,218.0,31,conservador,0.4,2703.2,1757.08
Madrid,1,January,120.0,31,conservador,0.37,1376.4,894.66
Madrid,2,February,120.0,28,conservador,0.37,1243.2,808.08
Madrid,3,March,123.0,31,conservador,0.37,1410.81,917.03
Madrid,4,April,129.0,30,conservador,0.37,1431.9,930.74
Madrid,5,May,139.0,31,conservador,0.37,1594.33,1036.31
Madrid,6,June,130.0,30,conservador,0.37,1443.0,937.95
Madrid,7,July,123.0,31,conservador,0.37,1410.81,917.03
Madrid,8,August,128.0,31,conservador,0.37,1468.16,954.3
Madrid,9,September,129.0,30,conservador,0.37,1431.9,930.74
Madrid,10,October,122.0,31,conservador,0.37,1399.34,909.57
Madrid,11,November,138.0,30,conservador,0.37,1531.8,995.67
Madrid,12,December,141.0,31,conservador,0.37,1617.27,1051.23
Valencia,1,January,89.39,31,conservador,0.32,886.75,576.39
Valencia,2,February,92.27,28,conservador,0.32,826.74,537.38
Valencia,3,March,89.96,31,conservador,0.32,892.4,580.06
Valencia,4,April,98.04,30,conservador,0.32,941.18,611.77
Valencia,5,May,96.31,31,conservador,0.32,955.4,621.01
Valencia,6,June,99.19,30,conservador,0.32,952.22,618.94
Valencia,7,July,104.38,31,conservador,0.32,1035.45,673.04
Valencia,8,August,111.3,31,conservador,0.32,1104.1,717.66
Valencia,9,September,104.38,30,conservador,0.32,1002.05,651.33
Valencia,10,October,102.65,31,conservador,0.32,1018.29,661.89
Valencia,11,November,96.88,30,conservador,0.32,930.05,604.53
Valencia,12,December,97.46,31,conservador,0.32,966.8,628.42
Barcelona,1,January,205.0,31,profesional_superhost,0.6082,3865.11,2512.32
Barcelona,2,February,203.0,28,profesional_superhost,0.6082,3457.01,2247.06
Barcelona,3,March,188.0,31,profesional_superhost,0.6082,3544.59,2303.98
Barcelona,4,April,198.0,30,profesional_superhost,0.6082,3612.71,2348.26
Barcelona,5,May,238.0,31,profesional_superhost,0.6082,4487.3,2916.75
Barcelona,6,June,243.0,30,profesional_superhost,0.6082,4433.78,2881.96
Barcelona,7,July,200.0,31,profesional_superhost,0.6082,3770.84,2451.05
Barcelona,8,August,179.0,31,profesional_superhost,0.6082,3374.9,2193.68
Barcelona,9,September,235.0,30,profesional_superhost,0.6082,4287.81,2787.08
Barcelona,10,October,211.0,31,profesional_superhost,0.6082,4278.24,2585.86
Barcelona,11,November,225.0,30,profesional_superhost,0.6082,4105.35,2668.48
Barcelona,12,December,218.0,31,profesional_superhost,0.6082,4110.22,2671.64
Madrid,1,January,120.0,31,profesional_superhost,0.5589,2079.11,1351.42
Madrid,2,February,120.0,28,profesional_superhost,0.5589,1877.9,1220.64
Madrid,3,March,123.0,31,profesional_superhost,0.5589,2131.09,1385.21
Madrid,4,April,129.0,30,profesional_superhost,0.5589,2162.94,1405.91
Madrid,5,May,139.0,31,profesional_superhost,0.5589,2408.3,1565.4
Madrid,6,June,130.0,30,profesional_superhost,0.5589,2179.71,1416.81
Madrid,7,July,123.0,31,profesional_superhost,0.5589,2131.09,1385.21
Madrid,8,August,128.0,31,profesional_superhost,0.5589,2217.72,1441.52
Madrid,9,September,129.0,30,profesional_superhost,0.5589,2162.94,1405.91
Madrid,10,October,122.0,31,profesional_superhost,0.5589,2113.76,1373.94
Madrid,11,November,138.0,30,profesional_superhost,0.5589,2313.85,1504.0
Madrid,12,December,141.0,31,profesional_superhost,0.5589,2442.95,1587.92
Valencia,1,January,89.39,31,profesional_superhost,0.4603,1275.53,829.09
Valencia,2,February,92.27,28,profesional_superhost,0.4603,1189.21,772.99
Valencia,3,March,89.96,31,profesional_superhost,0.4603,1283.67,834.39
Valencia,4,April,98.04,30,profesional_superhost,0.4603,1353.83,879.99
Valencia,5,May,96.31,31,profesional_superhost,0.4603,1374.28,893.28
Valencia,6,June,99.19,30,profesional_superhost,0.4603,1369.71,890.31
Valencia,7,July,104.38,31,profesional_superhost,0.4603,1489.43,968.13
Valencia,8,August,111.3,31,profesional_superhost,0.4603,1588.17,1032.31
Valencia,9,September,104.38,30,profesional_superhost,0.4603,1441.38,936.9
Valencia,10,October,102.65,31,profesional_superhost,0.4603,1464.74,952.08
Valencia,11,November,96.88,30,profesional_superhost,0.4603,1337.82,869.58
Valencia,12,December,97.46,31,profesional_superhost,0.4603,1390.69,903.95
