base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
Idealista,111368812,Barcelona,Sants,244252,Estudio,1.0,42.0,,108000.0,164.3,0.3327,1-barrio+habitaciones,12.01,Alta rentabilidad
Fotocasa,189239407,Barcelona,El Fort Pienc,224086,Piso,4.0,72.0,1.0,340000.0,496.08,0.3228,1-barrio+habitaciones,11.17,Alta rentabilidad
Fotocasa,189129404,Barcelona,Sants,244252,Planta Baja,1.0,38.0,,119000.0,164.3,0.3327,1-barrio+habitaciones,10.9,Alta rentabilidad
Idealista,108241615,Barcelona,Hostafrancs,244125,Piso,2.0,54.0,1.0,175000.0,228.96,0.3486,1-barrio+habitaciones,10.82,Alta rentabilidad
Fotocasa,186735018,Barcelona,Sants,244252,Piso,1.0,38.0,,120000.0,164.3,0.3327,1-barrio+habitaciones,10.81,Alta rentabilidad
Fotocasa,189071584,Barcelona,Hostafrancs,244125,Piso,2.0,62.0,,175311.0,228.96,0.3486,1-barrio+habitaciones,10.8,Alta rentabilidad
Idealista,110290330,Barcelona,Hostafrancs,244125,Piso,2.0,67.0,0.5,180000.0,228.96,0.3486,1-barrio+habitaciones,10.52,Alta rentabilidad
Idealista,109715083,Barcelona,Hostafrancs,244125,Piso,2.0,60.0,,180000.0,228.96,0.3486,1-barrio+habitaciones,10.52,Alta rentabilidad
Fotocasa,186758860,Barcelona,El Poble-sec,244098,Piso,1.0,52.0,,140500.0,188.68,0.3245,1-barrio+habitaciones,10.34,Alta rentabilidad
Fotocasa,188979427,Barcelona,Dreta de l'Eixample,224069,Piso,2.0,39.0,3.0,184000.0,269.24,0.2871,1-barrio+habitaciones,9.97,Media rentabilidad
Fotocasa,188438903,Barcelona,El Poble-sec,244098,Piso,2.0,57.0,15.0,166250.0,205.64,0.3245,1-barrio+habitaciones,9.52,Media rentabilidad
Fotocasa,189461682,Barcelona,El Fort Pienc,224086,Piso,2.0,38.0,,198000.0,241.68,0.3228,1-barrio+habitaciones,9.35,Media rentabilidad
Idealista,110978158,Barcelona,Sants,244252,Piso,1.0,45.0,0.0,139000.0,164.3,0.3327,1-barrio+habitaciones,9.33,Media rentabilidad
Idealista,106118297,Barcelona,El Poble-sec,244098,Dúplex,2.0,35.0,0.0,170000.0,205.64,0.3245,1-barrio+habitaciones,9.31,Media rentabilidad
Idealista,110974112,Barcelona,Hostafrancs,244125,Piso,1.0,53.0,2.0,195000.0,216.24,0.3486,1-barrio+habitaciones,9.17,Media rentabilidad
Fotocasa,188094950,Barcelona,El Poble-sec,244098,Piso,1.0,42.0,,165000.0,188.68,0.3245,1-barrio+habitaciones,8.8,Media rentabilidad
Idealista,110140250,Barcelona,Sants,244252,Piso,2.0,48.0,0.0,167000.0,186.03,0.3327,2-barrio,8.79,Media rentabilidad
Idealista,107223811,Barcelona,Sants,244252,Piso,2.0,50.0,,167000.0,186.03,0.3327,2-barrio,8.79,Media rentabilidad
Fotocasa,185421651,Barcelona,El Poble-sec,244098,Piso,1.0,49.0,,166000.0,188.68,0.3245,1-barrio+habitaciones,8.75,Media rentabilidad
Fotocasa,189089445,Barcelona,Dreta de l'Eixample,224069,Piso,1.0,40.0,3.0,165000.0,209.88,0.2871,1-barrio+habitaciones,8.66,Media rentabilidad
Fotocasa,185587755,Barcelona,Sants,244252,Piso,1.0,35.0,0.0,150000.0,164.3,0.3327,1-barrio+habitaciones,8.65,Media rentabilidad
Idealista,109984775,Barcelona,Sants,244252,Piso,1.0,35.0,3.0,150000.0,164.3,0.3327,1-barrio+habitaciones,8.65,Media rentabilidad
Fotocasa,189540388,Barcelona,El Poble-sec,244098,Loft,1.0,61.0,,168000.0,188.68,0.3245,1-barrio+habitaciones,8.65,Media rentabilidad
