ciudad,mes_checkin,mes_nombre,precio_medio,precio_mediano,n,precio_medio_bruto,precio_mediano_bruto,factor_correccion
Barcelona,1,January,214.55,205.0,2719,214.55,205.0,1.0
Barcelona,2,February,220.92,203.0,2580,220.92,203.0,1.0
Barcelona,3,March,208.77,188.0,3544,208.77,188.0,1.0
Barcelona,4,April,210.53,198.0,2551,210.53,198.0,1.0
Barcelona,5,May,251.83,238.0,2678,251.83,238.0,1.0
Barcelona,6,June,252.76,243.0,2241,252.76,243.0,1.0
Barcelona,7,July,233.69,200.0,1306,233.69,200.0,1.0
Barcelona,8,August,227.77,179.0,1800,227.77,179.0,1.0
Barcelona,9,September,242.97,235.0,1618,242.97,235.0,1.0
Barcelona,10,October,230.17,211.0,2605,230.17,211.0,1.0
Barcelona,11,November,229.96,225.0,2816,229.96,225.0,1.0
Barcelona,12,December,220.8,218.0,2440,220.8,218.0,1.0
Madrid,1,January,145.41,120.0,3658,145.41,120.0,1.0
Madrid,2,February,143.87,120.0,3745,143.87,120.0,1.0
Madrid,3,March,145.99,123.0,3410,145.99,123.0,1.0
Madrid,4,April,151.43,129.0,3003,151.43,129.0,1.0
Madrid,5,May,151.1,139.0,2561,151.1,139.0,1.0
Madrid,6,June,147.13,130.0,1977,147.13,130.0,1.0
Madrid,7,July,132.59,123.0,2329,132.59,123.0,1.0
Madrid,8,August,138.73,128.0,3380,138.73,128.0,1.0
Madrid,9,September,142.96,129.0,2268,142.96,129.0,1.0
Madrid,10,October,134.18,122.0,2824,134.18,122.0,1.0
Madrid,11,November,150.99,138.0,3780,150.99,138.0,1.0
Madrid,12,December,159.54,141.0,2934,159.54,141.0,1.0
Valencia,1,January,97.67,89.39,8530,169.36,155.0,0.5766961651917404
Valencia,2,February,99.16,92.27,7381,171.95,160.0,0.5766961651917404
Valencia,3,March,105.99,89.96,8168,183.78,156.0,0.5766961651917404
Valencia,4,April,109.26,98.04,7920,189.46,170.0,0.5766961651917404
Valencia,5,May,109.26,96.31,8240,189.46,167.0,0.5766961651917404
Valencia,6,June,109.07,99.19,7683,189.13,172.0,0.5766961651917404
Valencia,7,July,109.02,104.38,6504,189.04,181.0,0.5766961651917404
Valencia,8,August,115.59,111.3,6909,200.44,193.0,0.5766961651917404
Valencia,9,September,109.95,104.38,7595,190.65,181.0,0.5766961651917404
Valencia,10,October,110.92,102.65,8214,192.34,178.0,0.5766961651917404
Valencia,11,November,103.47,96.88,8468,179.42,168.0,0.5766961651917404
Valencia,12,December,107.94,97.46,7290,187.17,169.0,0.5766961651917404
