id_barrio_oficial,barrio_oficial,ciudad,barrio_turistico_objetivo,pct_con_licencia,n_inmuebles,fuente,grupo
102002,Acacias,Madrid,1,36.1,241,Inside Airbnb (2025),Turistico
102052,Chopera,Madrid,1,43.95,157,Inside Airbnb (2025),Turistico
102068,Delicias,Madrid,1,30.37,191,Inside Airbnb (2025),Turistico
102127,Imperial,Madrid,0,37.21,172,Inside Airbnb (2025),No turistico
102168,Legazpi,Madrid,0,35.42,48,Inside Airbnb (2025),No turistico
102205,Palos de la Frontera,Madrid,1,30.42,457,Inside Airbnb (2025),Turistico
103004,Aeropuerto,Madrid,0,38.46,13,Inside Airbnb (2025),No turistico
103006,Alameda de Osuna,Madrid,0,10.0,30,Inside Airbnb (2025),No turistico
103045,Casco Histórico de Barajas,Madrid,1,39.68,63,Inside Airbnb (2025),Turistico
103063,Corralejos,Madrid,1,18.18,11,Inside Airbnb (2025),Turistico
108001,Abrantes,Madrid,0,15.69,51,Inside Airbnb (2025),No turistico
108031,Buenavista,Madrid,0,7.94,63,Inside Airbnb (2025),No turistico
108061,Comillas,Madrid,1,18.87,159,Inside Airbnb (2025),Turistico
108197,Opañel,Madrid,0,20.47,171,Inside Airbnb (2025),No turistico
108222,Puerta Bonita,Madrid,0,14.56,103,Inside Airbnb (2025),No turistico
108236,San Isidro,Madrid,0,45.28,212,Inside Airbnb (2025),No turistico
108281,Vista Alegre,Madrid,0,15.17,145,Inside Airbnb (2025),No turistico
109064,Cortes,Madrid,1,51.09,1057,Inside Airbnb (2025),Turistico
109106,Embajadores,Madrid,1,42.04,2624,Inside Airbnb (2025),Turistico
109130,Justicia,Madrid,1,40.83,1227,Inside Airbnb (2025),Turistico
109201,Palacio,Madrid,1,43.79,1859,Inside Airbnb (2025),Turistico
109256,Sol,Madrid,1,46.48,1293,Inside Airbnb (2025),Turistico
109265,Universidad,Madrid,1,40.6,2170,Inside Airbnb (2025),Turistico
110050,Castilla,Madrid,1,43.7,119,Inside Airbnb (2025),Turistico
110053,Ciudad Jardín,Madrid,1,46.4,125,Inside Airbnb (2025),Turistico
110104,El Viso,Madrid,1,23.42,111,Inside Airbnb (2025),Turistico
110122,Hispanoamérica,Madrid,0,35.37,147,Inside Airbnb (2025),No turistico
110195,Nueva España,Madrid,0,56.21,169,Inside Airbnb (2025),No turistico
110219,Prosperidad,Madrid,0,39.91,233,Inside Airbnb (2025),No turistico
111008,Almagro,Madrid,1,53.08,260,Inside Airbnb (2025),Turistico
111015,Arapiles,Madrid,1,26.62,278,Inside Airbnb (2025),Turistico
111117,Gaztambide,Madrid,0,38.89,270,Inside Airbnb (2025),No turistico
111229,Ríos Rosas,Madrid,1,34.75,259,Inside Airbnb (2025),Turistico
111262,Trafalgar,Madrid,1,42.42,488,Inside Airbnb (2025),Turistico
111272,Vallehermoso,Madrid,1,27.19,114,Inside Airbnb (2025),Turistico
112060,Colina,Madrid,1,40.0,25,Inside Airbnb (2025),Turistico
112062,Concepción,Madrid,1,21.7,106,Inside Airbnb (2025),Turistico
112065,Costillares,Madrid,1,44.19,43,Inside Airbnb (2025),Turistico
112221,Pueblo Nuevo,Madrid,0,30.09,226,Inside Airbnb (2025),No turistico
112224,Quintana,Madrid,0,37.27,110,Inside Airbnb (2025),No turistico
112232,Salvador,Madrid,0,34.48,29,Inside Airbnb (2025),No turistico
112237,San Juan Bautista,Madrid,0,36.84,38,Inside Airbnb (2025),No turistico
