Ciudad,Anio,MesNum,Mes,Fecha,OcupacionMediaPct
Barcelona,2024,1,Enero,2024-01-01,55.7
Barcelona,2024,2,Febrero,2024-02-01,65.2
Barcelona,2024,3,Marzo,2024-03-01,72.5
Barcelona,2024,4,Abril,2024-04-01,82.1
Barcelona,2024,5,Mayo,2024-05-01,85.4
Barcelona,2024,6,Junio,2024-06-01,88.9
Barcelona,2024,7,Julio,2024-07-01,90.2
Barcelona,2024,8,Agosto,2024-08-01,89.5
Barcelona,2024,9,Septiembre,2024-09-01,87.3
Barcelona,2024,10,Octubre,2024-10-01,84.8
Barcelona,2024,11,Noviembre,2024-11-01,71.0
Barcelona,2024,12,Diciembre,2024-12-01,68.0
Barcelona,2025,1,Enero,2025-01-01,62.8
Barcelona,2025,2,Febrero,2025-02-01,74.2
Barcelona,2025,3,Marzo,2025-03-01,72.0
Barcelona,2025,4,Abril,2025-04-01,76.5
Barcelona,2025,5,Mayo,2025-05-01,79.0
Barcelona,2025,6,Junio,2025-06-01,81.5
Barcelona,2025,7,Julio,2025-07-01,88.0
Barcelona,2025,8,Agosto,2025-08-01,89.8
Barcelona,2025,9,Septiembre,2025-09-01,85.0
Barcelona,2025,10,Octubre,2025-10-01,82.0
Barcelona,2025,11,Noviembre,2025-11-01,75.0
Barcelona,2025,12,Diciembre,2025-12-01,74.5
Madrid,2024,1,Enero,2024-01-01,54.5
Madrid,2024,2,Febrero,2024-02-01,62.3
Madrid,2024,3,Marzo,2024-03-01,68.4
Madrid,2024,4,Abril,2024-04-01,75.1
Madrid,2024,5,Mayo,2024-05-01,78.9
Madrid,2024,6,Junio,2024-06-01,74.5
Madrid,2024,7,Julio,2024-07-01,69.2
Madrid,2024,8,Agosto,2024-08-01,52.8
Madrid,2024,9,Septiembre,2024-09-01,77.4
Madrid,2024,10,Octubre,2024-10-01,80.2
Madrid,2024,11,Noviembre,2024-11-01,73.6
Madrid,2024,12,Diciembre,2024-12-01,61.5
Madrid,2025,1,Enero,2025-01-01,62.4
Madrid,2025,2,Febrero,2025-02-01,69.6
Madrid,2025,3,Marzo,2025-03-01,68.5
Madrid,2025,4,Abril,2025-04-01,75.2
Madrid,2025,5,Mayo,2025-05-01,78.4
Madrid,2025,6,Junio,2025-06-01,81.2
Madrid,2025,7,Julio,2025-07-01,59.5
Madrid,2025,8,Agosto,2025-08-01,53.0
Madrid,2025,9,Septiembre,2025-09-01,80.5
Madrid,2025,10,Octubre,2025-10-01,84.1
Madrid,2025,11,Noviembre,2025-11-01,77.5
Madrid,2025,12,Diciembre,2025-12-01,71.3
Valencia,2024,1,Enero,2024-01-01,62.5
Valencia,2024,2,Febrero,2024-02-01,68.2
Valencia,2024,3,Marzo,2024-03-01,79.7
Valencia,2024,4,Abril,2024-04-01,80.5
Valencia,2024,5,Mayo,2024-05-01,90.8
Valencia,2024,6,Junio,2024-06-01,86.4
Valencia,2024,7,Julio,2024-07-01,87.0
Valencia,2024,8,Agosto,2024-08-01,88.9
Valencia,2024,9,Septiembre,2024-09-01,88.0
Valencia,2024,10,Octubre,2024-10-01,85.0
Valencia,2024,11,Noviembre,2024-11-01,72.0
Valencia,2024,12,Diciembre,2024-12-01,65.0
Valencia,2025,1,Enero,2025-01-01,62.0
Valencia,2025,2,Febrero,2025-02-01,67.1
Valencia,2025,3,Marzo,2025-03-01,79.0
Valencia,2025,4,Abril,2025-04-01,80.7
Valencia,2025,5,Mayo,2025-05-01,82.5
Valencia,2025,6,Junio,2025-06-01,84.0
Valencia,2025,7,Julio,2025-07-01,85.4
Valencia,2025,8,Agosto,2025-08-01,91.1
Valencia,2025,9,Septiembre,2025-09-01,86.5
Valencia,2025,10,Octubre,2025-10-01,83.2
Valencia,2025,11,Noviembre,2025-11-01,75.0
Valencia,2025,12,Diciembre,2025-12-01,72.5
