ciudad,tipo_alojamiento,precio_mediano,n_anuncios,fuente
Madrid,Entire home/apt,109.65,13648,Inside Airbnb 2025
Madrid,Hotel room,129.2,41,Inside Airbnb 2025
Madrid,Private room,42.5,5116,Inside Airbnb 2025
Madrid,Shared room,25.5,148,Inside Airbnb 2025
Valencia,Entire home/apt,96.9,5236,Inside Airbnb 2025
Valencia,Hotel room,106.25,13,Inside Airbnb 2025
Valencia,Private room,39.1,1720,Inside Airbnb 2025
Valencia,Shared room,38.67,10,Inside Airbnb 2025
Barcelona,Entire home/apt,212.0,1204,Pontia x factor inflacion 2026 (aprox.)
Barcelona,Hotel room,266.06,18,Pontia x factor inflacion 2026 (aprox.)
Barcelona,Private room,84.8,1418,Pontia x factor inflacion 2026 (aprox.)
Barcelona,Shared room,74.2,25,Pontia x factor inflacion 2026 (aprox.)
