base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Fotocasa,188500607,320000.0,4102.564102564103,Piso,3.0,2.0,78.0,2.0,213101,92.0,Terraza | Balcón | Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,279.84,0.2589,1-barrio+habitaciones,Media rentabilidad,5.37,False
Fotocasa,185139266,695000.0,5560.0,Piso,2.0,2.0,125.0,,213089,92.0,Ascensor | Terraza | Calefacción | Aire acondicionado,Medio,Medio,Barcelona,El Gòtic,186.56,0.2283,1-barrio+habitaciones,Baja rentabilidad,1.45,False
Fotocasa,189130741,649000.0,6122.641509433963,Piso,3.0,2.0,106.0,2.0,213101,49.0,Ascensor,Medio,Medio,Barcelona,El Raval,279.84,0.2589,1-barrio+habitaciones,Baja rentabilidad,2.65,False
Fotocasa,188053077,415000.0,3346.774193548388,Piso,4.0,1.0,124.0,3.0,213089,92.0,Balcón | Calefacción,Entrada,Entrada,Barcelona,El Gòtic,160.06,0.2283,2-barrio,Baja rentabilidad,2.09,False
Fotocasa,189274505,290000.0,5471.698113207547,Ático,2.0,1.0,53.0,5.0,213101,33.0,Calefacción | Aire acondicionado,Entrada,Medio,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.49,False
Fotocasa,188142359,445000.0,3869.565217391305,Piso,2.0,1.0,115.0,15.0,213101,92.0,Ascensor | Terraza | Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,2.93,False
Fotocasa,188614797,369000.0,5125.0,Piso,2.0,1.0,72.0,4.0,213134,92.0,Terraza | Balcón | Calefacción | Aire acondicionado,Entrada,Medio,Barcelona,La Barceloneta,208.82,0.226,1-barrio+habitaciones,Baja rentabilidad,3.03,False
Fotocasa,189407487,225000.0,4245.2830188679245,Ático,1.0,1.0,53.0,4.0,213101,17.0,Terraza | Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.34,False
Fotocasa,189506021,599000.0,6050.50505050505,Apartamento,1.0,2.0,99.0,3.0,213089,8.0,Ascensor | Balcón,Medio,Medio,Barcelona,El Gòtic,147.34,0.2283,1-barrio+habitaciones,Baja rentabilidad,1.33,False
Fotocasa,181895776,375000.0,7653.061224489796,Piso,2.0,1.0,49.0,2.0,213101,92.0,Balcón | Calefacción | Aire acondicionado,Entrada,Alto,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,3.47,False
Fotocasa,189430260,349000.0,4716.216216216216,Piso,2.0,1.0,74.0,3.0,213134,15.0,Ascensor | Balcón | Calefacción | Aire acondicionado,Entrada,Medio,Barcelona,La Barceloneta,208.82,0.226,1-barrio+habitaciones,Baja rentabilidad,3.21,False
Fotocasa,189523719,625000.0,4807.692307692308,Piso,3.0,2.0,130.0,2.0,213089,6.0,Ascensor | Balcón | Calefacción | Aire acondicionado,Medio,Medio,Barcelona,El Gòtic,160.06,0.2283,1-barrio+habitaciones,Baja rentabilidad,1.39,False
Fotocasa,189450650,150000.0,4166.666666666667,Piso,1.0,1.0,36.0,2.0,213250,14.0,Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,"Sant Pere, Santa Caterina i la Ribera",132.5,0.2318,1-barrio+habitaciones,Baja rentabilidad,4.86,False
Fotocasa,188890016,280000.0,3500.0,Piso,2.0,1.0,80.0,4.0,213101,75.0,Balcón | Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.65,False
Fotocasa,189362468,270000.0,4285.714285714285,Piso,2.0,1.0,63.0,3.0,213101,22.0,Calefacción | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.82,False
Fotocasa,189334513,275000.0,7857.142857142857,Piso,1.0,1.0,35.0,2.0,213134,25.0,Balcón | Aire acondicionado,Entrada,Alto,Barcelona,La Barceloneta,133.56,0.226,1-barrio+habitaciones,Baja rentabilidad,2.6,False
Fotocasa,189402538,519000.0,6034.883720930233,Piso,3.0,2.0,86.0,2.0,213134,18.0,Terraza | Balcón | Calefacción | Aire acondicionado,Medio,Medio,Barcelona,La Barceloneta,171.19,0.226,2-barrio,Baja rentabilidad,1.77,False
Fotocasa,189161586,295000.0,3881.578947368421,Piso,2.0,1.0,76.0,1.0,213101,46.0,Terraza | Balcón | Aire acondicionado,Entrada,Entrada,Barcelona,El Raval,212.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.41,False
