id_barrio_oficial,barrio_oficial,Latitud,Longitud
108001,Abrantes,40.378922,-3.726169
102002,Acacias,40.401046,-3.707239
139003,Adelfas,40.40108,-3.671044
103004,Aeropuerto,40.47876,-3.563466
306005,Aiora,39.465757,-0.343408
103006,Alameda de Osuna,40.45653,-3.591634
306007,Albors,39.468537,-0.352814
111008,Almagro,40.432836,-3.693536
146009,Almenara,40.470675,-3.694357
147010,Almendrales,40.383613,-3.699278
123011,Aluche,40.391925,-3.756734
141012,Amposta,40.426152,-3.622019
224013,Antiga Esquerra de l'Eixample,41.389383,2.15511
120014,Apóstol Santiago,40.476443,-3.659421
111015,Arapiles,40.434405,-3.708033
128016,Aravaca,40.454725,-3.779253
141017,Arcos,40.421242,-3.617572
128018,Argüelles,40.428252,-3.718051
316019,Arrancapins,39.464203,-0.384424
112020,Atalaya,40.464298,-3.664966
242021,Baró de Viver,41.445875,2.199124
146022,Bellas Vistas,40.452464,-3.707666
304023,Benicalap,39.491374,-0.393267
333024,Benifaraig,39.52833,-0.38583
332025,Beniferri,39.49617,-0.404042
305026,Benimaclet,39.484428,-0.359531
332027,Benimàmet,39.484428,-0.359531
146028,Berruguete,40.459626,-3.704918
335029,Beteró,39.472026,-0.33611
333030,Borbotó,39.51528,-0.39083
108031,Buenavista,40.370589,-3.753299
150032,Butarque,40.337073,-3.676295
123033,Campamento,40.385077,-3.803444
307034,Campanar,39.481496,-0.394471
306035,Camí Fondo,39.464801,-0.353217
321036,Camí Reial,39.44452,-0.3958
305037,Camí de Vera,39.487325,-0.352475
218038,Can Baró,41.416632,2.162295
230039,Can Peguera,41.43296,2.168313
120040,Canillas,40.463785,-3.64372
141041,Canillejas,40.443083,-3.610369
230042,Canyelles,41.445176,2.165128
333043,Carpesa,39.51667,-0.37778
128044,Casa de Campo,40.42363,-3.75301
103045,Casco Histórico de Barajas,40.474079,-3.578944
136046,Casco Histórico de Vallecas,40.376321,-3.621325
148047,Casco Histórico de Vicálvaro,40.403308,-3.606971
333048,Cases de Bàrcena,39.505,-0.38361
140049,Castellana,40.433567,-3.684314
110050,Castilla,40.474361,-3.679832
146051,Castillejos,40.460419,-3.694143
102052,Chopera,40.394779,-3.69903
110053,Ciudad Jardín,40.448296,-3.673
128054,Ciudad Universitaria,40.455987,-3.738411
304055,Ciutat Fallera,39.499465,-0.395079
301056,Ciutat Jardí,39.472051,-0.345103
230057,Ciutat Meridiana,41.457801,2.177364
306058,Ciutat Universitària,39.478496,-0.35855
337059,Ciutat de les Arts i les Ciències,39.453573,-0.355466
112060,Colina,40.458064,-3.660338
108061,Comillas,40.393472,-3.711993
112062,Concepción,40.439336,-3.649223
103063,Corralejos,40.46421,-3.607106
109064,Cortes,40.414884,-3.69701
112065,Costillares,40.476555,-3.668574
146066,Cuatro Caminos,40.451527,-3.697005
123067,Cuatro Vientos,40.368901,-3.78656
102068,Delicias,40.396944,-3.686446
224069,Dreta de l'Eixample,41.393879,2.168176
219070,El Baix Guinardó,41.411704,2.167874
243071,El Besòs i el Maresme,41.412686,2.221012
242072,El Bon Pastor,41.436988,2.201796
316073,El Botànic,39.477116,-0.385757
335074,El Cabanyal - El Canyamelar,39.468684,-0.328182
307075,El Calvari,39.486839,-0.390134
218076,El Camp d'en Grassot i Gràcia Nova,41.406341,2.164995
243077,El Camp de l'Arpa del Clot,41.412006,2.182461
314078,El Carme,39.479368,-0.379208
219079,El Carmel,41.421737,2.155995
334080,El Castellar - L'Oliveral,39.42632,-0.36405
148081,El Cañaveral,40.391581,-3.564383
243082,El Clot,41.409663,2.189983
218083,El Coll,41.418174,2.147771
242084,El Congrés i els Indians,41.424575,2.180846
334085,El Forn d'Alcedo,39.43192,-0.37642
224086,El Fort Pienc,41.397491,2.181549
335087,El Grau,39.441809,-0.317824
219088,El Guinardó,41.418811,2.173666
213089,El Gòtic,41.379918,2.178235
314090,El Mercat,39.473833,-0.378809
334091,El Palmar,39.473243,-0.382259
243092,El Parc i la Llacuna del Poblenou,41.398419,2.190396
117093,El Pardo,40.55245,-3.774467
334094,El Perellonet,39.345,-0.315
314095,El Pilar,39.473243,-0.382259
325096,El Pla del Remei,39.468737,-0.369404
128097,El Plantío,04.469832,-3.820847
244098,El Poble-sec,41.365331,2.158245
243099,El Poblenou,41.399293,2.203234
245100,El Putxet i el Farró,41.406883,2.143944
213101,El Raval,41.378782,2.170642
334102,El Saler,39.3825,-0.3325
230103,El Turó de la Peira,41.43296,2.168313
110104,El Viso,40.444867,-3.684748
338105,Els Orriols,39.494423,-0.369958
109106,Embajadores,40.409238,-3.702522
337107,En Corts,39.455954,-0.371179
149108,Ensanche de Vallecas,40.347708,-3.615721
136109,Entrevías,40.374742,-3.673071
139110,Estrella,40.414107,-3.665594
325111,Exposició,39.476264,-0.363263
334112,Faitanar,39.4411,-0.4111
129113,Fontarrón,40.401362,-3.646705
337114,Fonteta de Sant Lluís,39.44372,-0.365762
140115,Fuente del Berro,40.424771,-3.66382
117116,Fuentelarreina,40.48239,-3.741035
111117,Gaztambide,40.434964,-3.714617
140118,Goya,40.425056,-3.674433
325119,Gran Via,39.465383,-0.366107
140120,Guindalera,40.436349,-3.666625
141121,Hellín,40.430913,-3.616857
110122,Hispanoamérica,40.455348,-3.677136
129123,Horcajo,40.408546,-3.62692
219124,Horta,41.440253,2.152914
244125,Hostafrancs,41.375352,2.144277
139126,Ibiza,40.418892,-3.674396
102127,Imperial,40.406153,-3.718264
325128,Jaume Roig,39.481706,-0.363074
139129,Jerónimos,40.413784,-3.685278
109130,Justicia,40.423672,-3.696675
301131,L'Amistat,39.472695,-0.351052
321132,L'Hort de Senabre,39.451532,-0.390806
301133,L'Illa Perduda,39.468839,-0.339683
213134,La Barceloneta,41.369097,2.187587
337135,La Bega Baixa,39.476299,-0.350026
244136,La Bordeta,41.368935,2.136358
301137,La Carrasca,39.480395,-0.341052
219138,La Clota,41.430037,2.149209
321139,La Creu Coberta,39.450718,-0.385389
306140,La Creu del Grau,39.46174,-0.345138
219141,La Font d'en Fargues,41.424523,2.165248
244142,La Font de la Guatlla,41.369725,2.144789
327143,La Fontsanta,39.466112,-0.4087
230144,La Guineueta,41.438908,2.168862
327145,La Llum,39.468084,-0.413121
335146,La Malva-rosa,39.479829,-0.327796
244147,La Marina del Prat Vermell,41.351673,2.142507
226148,La Maternitat i Sant Ramon,41.381176,2.117435
117149,La Paz,40.481153,-3.696724
316150,La Petxina,39.473907,-0.391348
230151,La Prosperitat,41.442656,2.181946
337152,La Punta,39.441068,-0.349352
321153,La Raiosa,39.457509,-0.385978
314154,La Roqueta,39.466645,-0.380329
242155,La Sagrera,41.423222,2.190167
218156,La Salut,41.412454,2.154311
314157,La Seu,39.477023,-0.374629
219158,La Teixonera,41.423069,2.146545
334159,La Torre,39.418,-0.388
230160,La Trinitat Nova,41.450607,2.185083
242161,La Trinitat Vella,41.450783,2.193569
219162,La Vall d'Hebron,41.430037,2.149209
243163,La Verneda i la Pau,41.423989,2.20308
243164,La Vila Olímpica del Poblenou,41.389978,2.197952
314165,La Xerea,39.474462,-0.370448
244166,La Zona Franca - Port,41.338056,2.143007
123167,Las Águilas,40.381789,-3.771103
102168,Legazpi,40.388878,-3.687052
226169,Les Corts,41.386993,2.134788
230170,Les Roquetes,41.448226,2.175362
322171,Les Tendetes,39.483395,-0.38596
245172,Les Tres Torres,41.398026,2.129849
140173,Lista,40.432008,-3.675829
123174,Los Cármenes,40.401512,-3.735899
150175,Los Rosales,40.355675,-3.688522
150176,Los @Ángeles,40.355831,-3.699209
123177,Lucero,40.402277,-3.750371
337178,Malilla,39.444258,-0.377225
129179,Marroquina,40.41072,-3.640643
322180,Marxalenes,39.486137,-0.383147
333181,Massarrojos,39.535,-0.415
129182,Media Legua,40.411893,-3.656846
315183,Mestalla,39.470597,-0.359368
117184,Mirasierra,40.493797,-3.710236
337185,Mont-Olivet,39.459357,-0.363401
219186,Montbau,41.431731,2.134621
322187,Morvedre,39.484495,-0.3748
147188,Moscardó,40.388998,-3.706753
337189,Na Rovella,39.452921,-0.366023
335190,Natzaret,39.446687,-0.332539
242191,Navas,41.417995,2.185954
139192,Niño Jesús,40.411583,-3.673453
327193,Nou Moles,39.47169,-0.398763
224194,Nova Esquerra de l'Eixample,41.383053,2.14896
110195,Nueva España,40.462744,-3.678163
129196,Numancia,40.399524,-3.658586
108197,Opañel,40.390198,-3.721783
147198,Orcasitas,40.368609,-3.712432
147199,Orcasur,40.372127,-3.698205
139200,Pacífico,40.404231,-3.678189
109201,Palacio,40.415396,-3.714018
120202,Palomas,40.452554,-3.615756
136203,Palomeras Bajas,40.384689,-3.658816
129204,Palomeras Sureste,40.385268,-3.637207
102205,Palos de la Frontera,40.403835,-3.692304
331206,Patraix,39.462683,-0.39187
129207,Pavones,40.398487,-3.632185
226208,Pedralbes,41.391289,2.109961
306209,Penya-Roja,39.459272,-0.350123
117210,Peñagrande,40.47876,-3.725825
117211,Pilar,40.47719,-3.709609
120212,Pinar del Rey,40.472494,-3.647043
334213,Pinedo,39.42194,-0.33917
120214,Piovera,40.455693,-3.635113
333215,Poble Nou,39.505,-0.38361
230216,Porta,41.434873,2.178727
136217,Portazgo,40.390596,-3.648235
147218,Pradolongo,40.378144,-3.707179
110219,Prosperidad,40.444226,-3.669319
243220,Provençals del Poblenou,41.411,2.202602
112221,Pueblo Nuevo,40.426282,-3.635423
108222,Puerta Bonita,40.379652,-3.739092
123223,Puerta del Ángel,40.409759,-3.731664
112224,Quintana,40.437011,-3.645042
140225,Recoletos,40.424603,-3.685808
141226,Rejas,40.445136,-3.570783
141227,Rosas,40.427423,-3.594204
325228,Russafa,39.461315,-0.373889
111229,Ríos Rosas,40.442425,-3.697735
331230,Safranar,39.458119,-0.397254
224231,Sagrada Família,41.405434,2.176618
112232,Salvador,40.445262,-3.630933
150233,San Cristóbal,40.341023,-3.68822
136234,San Diego,40.390001,-3.667876
147235,San Fermín,40.370596,-3.689034
108236,San Isidro,40.396605,-3.728353
112237,San Juan Bautista,40.450692,-3.656402
112238,San Pascual,40.442805,-3.653481
242239,Sant Andreu de Palomar,41.43696,2.190217
224240,Sant Antoni,41.378454,2.159269
314241,Sant Francesc,39.470119,-0.376053
219242,Sant Genís dels Agudells,41.431731,2.134621
245243,Sant Gervasi - Galvany,41.397534,2.143018
245244,Sant Gervasi - la Bonanova,41.409835,2.13012
331245,Sant Isidre,39.452562,-0.404784
338246,Sant Llorenç,39.496316,-0.362901
321247,Sant Marcel·lí,39.44502,-0.390094
243248,Sant Martí de Provençals,41.416849,2.198032
327249,Sant Pau,39.489136,-0.411771
213250,"Sant Pere, Santa Caterina i la Ribera",41.386679,2.183544
149251,Santa Eugenia,40.383435,-3.611374
244252,Sants,41.377447,2.136305
244253,Sants-Badal,41.374603,2.127756
245254,Sarrià,41.40266,2.116203
141255,Simancas,40.435346,-3.625078
109256,Sol,40.417283,-3.704558
327257,Soternes,39.471201,-0.409426
