id_barrio_oficial,ciudad,distrito_oficial,barrio_oficial,barrio_turistico_objetivo
108001,Madrid,Carabanchel,Abrantes,0
102002,Madrid,Arganzuela,Acacias,1
139003,Madrid,Retiro,Adelfas,0
103004,Madrid,Barajas,Aeropuerto,0
306005,Valencia,Camins al Grau,Aiora,1
103006,Madrid,Barajas,Alameda de Osuna,0
306007,Valencia,Camins al Grau,Albors,0
111008,Madrid,Chamberí,Almagro,1
146009,Madrid,Tetuán,Almenara,0
147010,Madrid,Usera,Almendrales,0
123011,Madrid,Latina,Aluche,0
141012,Madrid,San Blas-Canillejas,Amposta,0
224013,Barcelona,L'Eixample,Antiga Esquerra de l'Eixample,1
120014,Madrid,Hortaleza,Apóstol Santiago,0
111015,Madrid,Chamberí,Arapiles,1
128016,Madrid,Moncloa-Aravaca,Aravaca,1
141017,Madrid,San Blas-Canillejas,Arcos,1
128018,Madrid,Moncloa-Aravaca,Argüelles,1
316019,Valencia,Extramurs,Arrancapins,1
112020,Madrid,Ciudad Lineal,Atalaya,1
242021,Barcelona,Sant Andreu,Baró de Viver,0
146022,Madrid,Tetuán,Bellas Vistas,1
304023,Valencia,Benicalap,Benicalap,1
333024,Valencia,Poblats del Nord,Benifaraig,0
332025,Valencia,Poblats de l'Oest,Beniferri,1
305026,Valencia,Benimaclet,Benimaclet,1
332027,Valencia,Poblats de l'Oest,Benimàmet,1
146028,Madrid,Tetuán,Berruguete,1
335029,Valencia,Poblats Marítims,Beteró,1
333030,Valencia,Poblats del Nord,Borbotó,0
108031,Madrid,Carabanchel,Buenavista,0
150032,Madrid,Villaverde,Butarque,1
123033,Madrid,Latina,Campamento,1
307034,Valencia,Campanar,Campanar,1
306035,Valencia,Camins al Grau,Camí Fondo,1
321036,Valencia,Jesús,Camí Reial,1
305037,Valencia,Benimaclet,Camí de Vera,1
218038,Barcelona,Gràcia,Can Baró,0
230039,Barcelona,Nou Barris,Can Peguera,0
120040,Madrid,Hortaleza,Canillas,1
141041,Madrid,San Blas-Canillejas,Canillejas,1
230042,Barcelona,Nou Barris,Canyelles,0
333043,Valencia,Poblats del Nord,Carpesa,0
128044,Madrid,Moncloa-Aravaca,Casa de Campo,1
103045,Madrid,Barajas,Casco Histórico de Barajas,1
136046,Madrid,Puente de Vallecas,Casco Histórico de Vallecas,0
148047,Madrid,Vicálvaro,Casco Histórico de Vicálvaro,0
333048,Valencia,Poblats del Nord,Cases de Bàrcena,0
140049,Madrid,Salamanca,Castellana,1
110050,Madrid,Chamartín,Castilla,1
146051,Madrid,Tetuán,Castillejos,1
102052,Madrid,Arganzuela,Chopera,1
110053,Madrid,Chamartín,Ciudad Jardín,1
128054,Madrid,Moncloa-Aravaca,Ciudad Universitaria,1
304055,Valencia,Benicalap,Ciutat Fallera,1
301056,Valencia,Algirós,Ciutat Jardí,1
230057,Barcelona,Nou Barris,Ciutat Meridiana,0
306058,Valencia,Camins al Grau,Ciutat Universitària,1
337059,Valencia,Quatre Carreres,Ciutat de les Arts i les Ciències,1
112060,Madrid,Ciudad Lineal,Colina,1
108061,Madrid,Carabanchel,Comillas,1
112062,Madrid,Ciudad Lineal,Concepción,1
103063,Madrid,Barajas,Corralejos,1
109064,Madrid,Centro,Cortes,1
112065,Madrid,Ciudad Lineal,Costillares,1
146066,Madrid,Tetuán,Cuatro Caminos,1
123067,Madrid,Latina,Cuatro Vientos,1
102068,Madrid,Arganzuela,Delicias,1
224069,Barcelona,L'Eixample,Dreta de l'Eixample,1
219070,Barcelona,Horta-Guinardó,El Baix Guinardó,0
243071,Barcelona,Sant Martí,El Besòs i el Maresme,0
242072,Barcelona,Sant Andreu,El Bon Pastor,0
316073,Valencia,Extramurs,El Botànic,1
335074,Valencia,Poblats Marítims,El Cabanyal - El Canyamelar,1
307075,Valencia,Campanar,El Calvari,1
